,normalized-losses,wheel-base,make,length,width,height,curb-weight,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,122.68571428571428,88.6,0.0,168.8,64.1,48.8,2548.0,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,13495.0
1,122.68571428571428,88.6,0.0,168.8,64.1,48.8,2548.0,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,16500.0
2,122.68571428571428,94.5,0.0,171.2,65.5,52.4,2823.0,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0
3,164.0,99.8,1.0,176.6,66.2,54.3,2337.0,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0
4,164.0,99.4,1.0,176.6,66.4,54.3,2824.0,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0
5,122.68571428571428,99.8,1.0,177.3,66.3,53.1,2507.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0
6,158.0,105.8,1.0,192.7,71.4,55.7,2844.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,17710.0
7,122.68571428571428,105.8,1.0,192.7,71.4,55.7,2954.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0
8,188.0,101.2,2.0,176.8,64.8,54.3,2710.0,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,20970.0
9,188.0,101.2,2.0,176.8,64.8,54.3,2765.0,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,21105.0
10,122.68571428571428,103.5,2.0,189.0,66.9,55.7,3055.0,3.31,3.19,9.0,121.0,4250.0,20.0,25.0,24565.0
11,122.68571428571428,103.5,2.0,189.0,66.9,55.7,3230.0,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,30760.0
12,122.68571428571428,103.5,2.0,193.8,67.9,53.7,3380.0,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,41315.0
13,122.68571428571428,110.0,2.0,197.0,70.9,56.3,3505.0,3.62,3.39,8.0,182.0,5400.0,15.0,20.0,36880.0
14,121.0,88.4,3.0,141.1,60.3,53.2,1488.0,2.91,3.03,9.5,48.0,5100.0,47.0,53.0,5151.0
15,98.0,94.5,3.0,155.9,63.6,52.0,1874.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6295.0
16,81.0,94.5,3.0,158.8,63.6,52.0,1909.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6575.0
17,118.0,93.7,4.0,157.3,63.8,50.8,1876.0,2.97,3.23,9.41,68.0,5500.0,37.0,41.0,5572.0
18,118.0,93.7,4.0,157.3,63.8,50.8,1876.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6377.0
19,118.0,93.7,4.0,157.3,63.8,50.8,2128.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7957.0
20,148.0,93.7,4.0,157.3,63.8,50.6,1967.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6229.0
21,148.0,93.7,4.0,157.3,63.8,50.6,1989.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7609.0
22,148.0,93.7,4.0,157.3,63.8,50.6,2191.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,8558.0
23,110.0,103.3,4.0,174.6,64.6,59.8,2535.0,3.34,3.46,8.5,88.0,5000.0,24.0,30.0,8921.0
24,145.0,95.9,4.0,173.2,66.3,50.2,2811.0,3.6,3.9,7.0,145.0,5000.0,19.0,24.0,12964.0
25,137.0,86.6,5.0,144.6,63.9,50.8,1713.0,2.91,3.41,9.6,58.0,4800.0,49.0,54.0,6479.0
26,137.0,86.6,5.0,144.6,63.9,50.8,1819.0,2.91,3.41,9.2,76.0,6000.0,31.0,38.0,6855.0
27,101.0,93.7,5.0,150.0,64.0,52.6,1837.0,2.91,3.07,10.1,60.0,5500.0,38.0,42.0,5399.0
28,101.0,93.7,5.0,150.0,64.0,52.6,1940.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,6529.0
29,101.0,93.7,5.0,150.0,64.0,52.6,1956.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7129.0
30,110.0,96.5,5.0,163.4,64.0,54.5,2010.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0
31,78.0,96.5,5.0,157.1,63.9,58.3,2024.0,2.92,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0
32,106.0,96.5,5.0,167.5,65.2,53.3,2236.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,7895.0
33,106.0,96.5,5.0,167.5,65.2,53.3,2289.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,9095.0
34,85.0,96.5,5.0,175.4,65.2,54.1,2304.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,8845.0
35,85.0,96.5,5.0,175.4,62.5,54.1,2372.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,10295.0
36,85.0,96.5,5.0,175.4,65.2,54.1,2465.0,3.15,3.58,9.0,101.0,5800.0,24.0,28.0,12945.0
37,107.0,96.5,5.0,169.1,66.0,51.0,2293.0,3.15,3.58,9.1,100.0,5500.0,25.0,31.0,10345.0
38,122.68571428571428,94.3,6.0,170.7,61.8,53.5,2337.0,3.31,3.23,8.5,78.0,4800.0,24.0,29.0,6785.0
41,122.68571428571428,96.0,6.0,172.6,65.2,51.4,2734.0,3.43,3.23,9.2,90.0,5000.0,24.0,29.0,11048.0
42,145.0,113.0,7.0,199.6,69.6,52.8,4066.0,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,32250.0
43,122.68571428571428,113.0,7.0,199.6,69.6,52.8,4066.0,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,35550.0
44,122.68571428571428,102.0,7.0,191.7,70.6,47.8,3950.0,3.54,2.76,11.5,262.0,5000.0,13.0,17.0,36000.0
45,104.0,93.1,8.0,159.1,64.2,54.1,1890.0,3.03,3.15,9.0,68.0,5000.0,30.0,31.0,5195.0
46,104.0,93.1,8.0,159.1,64.2,54.1,1900.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6095.0
47,104.0,93.1,8.0,159.1,64.2,54.1,1905.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6795.0
48,113.0,93.1,8.0,166.8,64.2,54.1,1945.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6695.0
49,113.0,93.1,8.0,166.8,64.2,54.1,1950.0,3.08,3.15,9.0,68.0,5000.0,31.0,38.0,7395.0
50,150.0,95.3,8.0,169.0,65.7,49.6,2380.0,3.318284023668639,3.26076923076923,9.4,101.0,6000.0,17.0,23.0,10945.0
51,150.0,95.3,8.0,169.0,65.7,49.6,2380.0,3.318284023668639,3.26076923076923,9.4,101.0,6000.0,17.0,23.0,11845.0
52,150.0,95.3,8.0,169.0,65.7,49.6,2385.0,3.318284023668639,3.26076923076923,9.4,101.0,6000.0,17.0,23.0,13645.0
53,150.0,95.3,8.0,169.0,65.7,49.6,2500.0,3.318284023668639,3.26076923076923,9.4,135.0,6000.0,16.0,23.0,15645.0
54,129.0,98.8,8.0,177.8,66.5,53.7,2385.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8845.0
55,115.0,98.8,8.0,177.8,66.5,55.5,2410.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8495.0
56,129.0,98.8,8.0,177.8,66.5,53.7,2385.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10595.0
57,115.0,98.8,8.0,177.8,66.5,55.5,2410.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10245.0
58,122.68571428571428,98.8,8.0,177.8,66.5,55.5,2443.0,3.39,3.39,22.7,64.0,4650.0,36.0,42.0,10795.0
59,115.0,98.8,8.0,177.8,66.5,55.5,2425.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,11245.0
60,118.0,104.9,8.0,175.0,66.1,54.4,2670.0,3.76,3.16,8.0,120.0,5000.0,19.0,27.0,18280.0
61,122.68571428571428,104.9,8.0,175.0,66.1,54.4,2700.0,3.43,3.64,22.0,72.0,4200.0,31.0,39.0,18344.0
62,93.0,110.0,9.0,190.9,70.3,56.5,3515.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,25552.0
63,93.0,110.0,9.0,190.9,70.3,58.7,3750.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28248.0
64,93.0,106.7,9.0,187.5,70.3,54.9,3495.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28176.0
65,122.68571428571428,112.0,9.0,199.2,72.0,55.4,3715.0,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,45400.0
66,122.68571428571428,102.7,10.0,178.4,68.0,54.8,2910.0,3.78,3.12,8.0,175.0,5000.0,19.0,24.0,16503.0
67,161.0,93.7,11.0,157.3,64.4,50.8,1918.0,2.97,3.23,9.4,68.0,5500.0,37.0,41.0,5389.0
68,161.0,93.7,11.0,157.3,64.4,50.8,1944.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6189.0
69,161.0,93.7,11.0,157.3,64.4,50.8,2004.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6669.0
70,161.0,93.0,11.0,157.3,63.8,50.8,2145.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7689.0
71,153.0,96.3,11.0,173.0,65.4,49.4,2370.0,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9959.0
72,153.0,96.3,11.0,173.0,65.4,49.4,2328.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,8499.0
73,122.68571428571428,95.9,11.0,173.2,66.3,50.2,2833.0,3.58,3.86,7.0,145.0,5000.0,19.0,24.0,12629.0
74,122.68571428571428,95.9,11.0,173.2,66.3,50.2,2921.0,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,14869.0
75,122.68571428571428,95.9,11.0,173.2,66.3,50.2,2926.0,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,14489.0
76,125.0,96.3,11.0,172.4,65.4,51.6,2365.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,6989.0
77,125.0,96.3,11.0,172.4,65.4,51.6,2405.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,8189.0
78,125.0,96.3,11.0,172.4,65.4,51.6,2403.0,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9279.0
79,137.0,96.3,11.0,172.4,65.4,51.6,2403.0,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9279.0
80,128.0,94.5,12.0,165.3,63.8,54.5,1889.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,5499.0
81,128.0,94.5,12.0,165.3,63.8,54.5,2017.0,2.99,3.47,21.9,55.0,4800.0,45.0,50.0,7099.0
82,128.0,94.5,12.0,165.3,63.8,54.5,1918.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6649.0
83,122.0,94.5,12.0,165.3,63.8,54.5,1971.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7499.0
84,103.0,94.5,12.0,170.2,63.8,53.5,2037.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7999.0
85,168.0,95.1,12.0,162.4,63.8,53.3,2008.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,8249.0
86,106.0,97.2,12.0,173.4,65.2,54.7,2324.0,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,8949.0
87,106.0,97.2,12.0,173.4,65.2,54.7,2302.0,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,9549.0
88,128.0,100.4,12.0,181.7,66.5,55.1,3095.0,3.43,3.27,9.0,152.0,5200.0,17.0,22.0,13499.0
89,108.0,100.4,12.0,184.6,66.5,56.1,3296.0,3.43,3.27,9.0,152.0,5200.0,17.0,22.0,14399.0
90,108.0,100.4,12.0,184.6,66.5,55.1,3060.0,3.43,3.27,9.0,152.0,5200.0,19.0,25.0,13499.0
91,194.0,91.3,12.0,170.7,67.9,49.7,3071.0,3.43,3.27,9.0,160.0,5200.0,19.0,25.0,17199.0
92,194.0,91.3,12.0,170.7,67.9,49.7,3139.0,3.43,3.27,7.8,200.0,5200.0,17.0,23.0,19699.0
93,231.0,99.2,12.0,178.5,67.9,49.7,3139.0,3.43,3.27,9.0,160.0,5200.0,19.0,25.0,18399.0
94,161.0,107.9,13.0,186.7,68.4,56.7,3020.0,3.46,3.19,8.4,97.0,5000.0,19.0,24.0,11900.0
95,161.0,107.9,13.0,186.7,68.4,56.7,3197.0,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,13200.0
96,122.68571428571428,114.2,13.0,198.9,68.4,58.7,3230.0,3.46,3.19,8.4,97.0,5000.0,19.0,24.0,12440.0
97,122.68571428571428,114.2,13.0,198.9,68.4,58.7,3430.0,3.7,3.52,21.0,95.0,4150.0,25.0,25.0,13860.0
98,161.0,107.9,13.0,186.7,68.4,56.7,3075.0,3.46,2.19,8.4,95.0,5000.0,19.0,24.0,15580.0
99,161.0,107.9,13.0,186.7,68.4,56.7,3252.0,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,16900.0
100,122.68571428571428,114.2,13.0,198.9,68.4,56.7,3285.0,3.46,2.19,8.4,95.0,5000.0,19.0,24.0,16695.0
101,122.68571428571428,114.2,13.0,198.9,68.4,58.7,3485.0,3.7,3.52,21.0,95.0,4150.0,25.0,25.0,17075.0
102,161.0,107.9,13.0,186.7,68.4,56.7,3075.0,3.46,3.19,8.4,97.0,5000.0,19.0,24.0,16630.0
103,161.0,107.9,13.0,186.7,68.4,56.7,3252.0,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,17950.0
104,161.0,108.0,13.0,186.7,68.3,56.0,3130.0,3.61,3.21,7.0,142.0,5600.0,18.0,24.0,18150.0
105,119.0,93.7,14.0,157.3,63.8,50.8,1918.0,2.97,3.23,9.4,68.0,5500.0,37.0,41.0,5572.0
106,119.0,93.7,14.0,157.3,63.8,50.8,2128.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7957.0
107,154.0,93.7,14.0,157.3,63.8,50.6,1967.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6229.0
108,154.0,93.7,14.0,167.3,63.8,50.8,1989.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6692.0
109,154.0,93.7,14.0,167.3,63.8,50.8,2191.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7609.0
110,74.0,103.3,14.0,174.6,64.6,59.8,2535.0,3.35,3.46,8.5,88.0,5000.0,24.0,30.0,8921.0
111,122.68571428571428,89.5,15.0,168.9,65.0,51.6,2756.0,3.74,2.9,9.5,207.0,5900.0,17.0,25.0,34028.0
112,122.68571428571428,89.5,15.0,168.9,65.0,51.6,2800.0,3.74,2.9,9.5,207.0,5900.0,17.0,25.0,37028.0
114,122.68571428571428,96.1,16.0,181.5,66.5,55.2,2579.0,3.46,3.9,8.7,102.57894736842105,5132.456140350877,23.0,31.0,9295.0
115,122.68571428571428,96.1,16.0,176.8,66.6,50.5,2460.0,3.46,3.9,8.7,102.57894736842105,5132.456140350877,23.0,31.0,9895.0
116,150.0,99.1,17.0,186.6,66.5,56.1,2658.0,3.54,3.07,9.31,110.0,5250.0,21.0,28.0,11850.0
117,104.0,99.1,17.0,186.6,66.5,56.1,2695.0,3.54,3.07,9.3,110.0,5250.0,21.0,28.0,12170.0
118,150.0,99.1,17.0,186.6,66.5,56.1,2707.0,2.54,2.07,9.3,110.0,5250.0,21.0,28.0,15040.0
119,104.0,99.1,17.0,186.6,66.5,56.1,2758.0,3.54,3.07,9.3,110.0,5250.0,21.0,28.0,15510.0
120,150.0,99.1,17.0,186.6,66.5,56.1,2808.0,3.54,3.07,9.0,160.0,5500.0,19.0,26.0,18150.0
121,104.0,99.1,17.0,186.6,66.5,56.1,2847.0,3.54,3.07,9.0,160.0,5500.0,19.0,26.0,18620.0
122,83.0,93.7,18.0,156.9,63.4,53.7,2050.0,3.62,2.36,9.0,69.0,4900.0,31.0,36.0,5118.0
123,83.0,93.7,18.0,157.9,63.6,53.7,2120.0,3.62,2.64,8.7,73.0,4400.0,26.0,31.0,7053.0
124,83.0,93.3,18.0,157.3,63.8,55.7,2240.0,3.62,2.64,8.7,73.0,4400.0,26.0,31.0,7603.0
125,102.0,97.2,18.0,172.0,65.4,52.5,2145.0,3.62,2.64,9.5,82.0,4800.0,32.0,37.0,7126.0
126,102.0,97.2,18.0,172.0,65.4,52.5,2190.0,3.62,2.64,9.5,82.0,4400.0,28.0,33.0,7775.0
127,102.0,97.2,18.0,172.0,65.4,52.5,2340.0,3.62,2.64,9.0,94.0,5200.0,26.0,32.0,9960.0
128,102.0,97.0,18.0,172.0,65.4,54.3,2385.0,3.62,2.64,9.0,82.0,4800.0,24.0,25.0,9233.0
129,102.0,97.0,18.0,172.0,65.4,54.3,2510.0,3.62,2.64,7.7,111.0,4800.0,24.0,29.0,11259.0
130,89.0,97.0,18.0,173.5,65.4,53.0,2290.0,3.62,2.64,9.0,82.0,4800.0,28.0,32.0,7463.0
131,89.0,97.0,18.0,173.5,65.4,53.0,2455.0,3.62,2.64,9.0,94.0,5200.0,25.0,31.0,10198.0
132,85.0,96.9,18.0,173.6,65.4,54.9,2420.0,3.62,2.64,9.0,82.0,4800.0,23.0,29.0,8013.0
133,85.0,96.9,18.0,173.6,65.4,54.9,2650.0,3.62,2.64,7.7,111.0,4800.0,23.0,23.0,11694.0
134,87.0,95.7,19.0,158.7,63.6,54.5,1985.0,3.05,3.03,9.0,62.0,4800.0,35.0,39.0,5348.0
135,87.0,95.7,19.0,158.7,63.6,54.5,2040.0,3.05,3.03,9.0,62.0,4800.0,31.0,38.0,6338.0
136,74.0,95.7,19.0,158.7,63.6,54.5,2015.0,3.05,3.03,9.0,62.0,4800.0,31.0,38.0,6488.0
137,77.0,95.7,19.0,169.7,63.6,59.1,2280.0,3.05,3.03,9.0,62.0,4800.0,31.0,37.0,6918.0
138,81.0,95.7,19.0,169.7,63.6,59.1,2290.0,3.05,3.03,9.0,62.0,4800.0,27.0,32.0,7898.0
139,91.0,95.7,19.0,169.7,63.6,59.1,3110.0,3.05,3.03,9.0,62.0,4800.0,27.0,32.0,8778.0
140,91.0,95.7,19.0,166.3,64.4,53.0,2081.0,3.19,3.03,9.0,70.0,4800.0,30.0,37.0,6938.0
141,91.0,95.7,19.0,166.3,64.4,52.8,2109.0,3.19,3.03,9.0,70.0,4800.0,30.0,37.0,7198.0
142,91.0,95.7,19.0,166.3,64.4,53.0,2275.0,3.27,3.35,22.5,56.0,4500.0,34.0,36.0,7898.0
143,91.0,95.7,19.0,166.3,64.4,52.8,2275.0,3.27,3.35,22.5,56.0,4500.0,38.0,47.0,7788.0
144,91.0,95.7,19.0,166.3,64.4,53.0,2094.0,3.19,3.03,9.0,70.0,4800.0,38.0,47.0,7738.0
145,168.0,94.5,19.0,168.7,64.0,52.6,2265.0,3.24,3.08,9.4,112.0,6600.0,26.0,29.0,9298.0
146,168.0,94.5,19.0,168.7,64.0,52.6,2300.0,3.24,3.08,9.4,112.0,6600.0,26.0,29.0,9538.0
147,134.0,98.4,19.0,176.2,65.6,52.0,2540.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,8449.0
148,134.0,98.4,19.0,176.2,65.6,52.0,2536.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,9639.0
149,134.0,98.4,19.0,176.2,65.6,52.0,2551.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,9989.0
150,134.0,98.4,19.0,176.2,65.6,52.0,2679.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,11199.0
151,134.0,98.4,19.0,176.2,65.6,52.0,2714.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,11549.0
152,134.0,98.4,19.0,176.2,65.6,53.0,2975.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,17669.0
153,65.0,102.4,19.0,175.6,66.5,53.9,2458.0,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,11248.0
154,197.0,102.9,19.0,183.5,67.7,52.0,2976.0,3.27,3.35,9.3,161.0,5200.0,20.0,24.0,16558.0
155,197.0,102.9,19.0,183.5,67.7,52.0,3016.0,3.27,3.35,9.3,161.0,5200.0,19.0,24.0,15998.0
156,90.0,104.5,19.0,187.8,66.5,54.1,3131.0,3.27,3.35,9.2,156.0,5200.0,20.0,24.0,15690.0
157,122.68571428571428,104.5,19.0,187.8,66.5,54.1,3151.0,3.27,3.35,9.2,156.0,5200.0,19.0,24.0,15750.0
158,122.0,97.3,20.0,171.7,65.5,55.7,2261.0,3.01,3.4,23.0,52.0,4800.0,37.0,46.0,7775.0
159,122.0,97.3,20.0,171.7,65.5,55.7,2209.0,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,7975.0
160,94.0,97.3,20.0,171.7,65.5,55.7,2264.0,3.01,3.4,23.0,52.0,4800.0,37.0,46.0,7995.0
161,94.0,97.3,20.0,171.7,65.5,55.7,2212.0,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,8195.0
162,94.0,97.3,20.0,171.7,65.5,55.7,2275.0,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,8495.0
163,94.0,97.3,20.0,171.7,65.5,55.7,2319.0,3.01,3.4,23.0,68.0,4500.0,37.0,42.0,9495.0
164,94.0,97.3,20.0,171.7,65.5,55.7,2300.0,3.19,3.4,10.0,100.0,5500.0,26.0,32.0,9995.0
165,122.68571428571428,94.5,20.0,159.3,64.2,55.6,2254.0,3.19,3.4,8.5,90.0,5500.0,24.0,29.0,11595.0
166,256.0,94.5,20.0,165.7,64.0,51.4,2221.0,3.19,3.4,8.5,90.0,5500.0,24.0,29.0,9980.0
167,122.68571428571428,100.4,20.0,180.2,66.9,55.1,2661.0,3.19,3.4,8.5,110.0,5500.0,19.0,24.0,13295.0
168,122.68571428571428,100.4,20.0,180.2,66.9,55.1,2579.0,3.01,3.4,23.0,68.0,4500.0,33.0,38.0,13845.0
169,122.68571428571428,100.4,20.0,183.1,66.9,55.1,2563.0,3.19,3.4,9.0,88.0,5500.0,25.0,31.0,12290.0
170,103.0,104.3,21.0,188.8,67.2,56.2,2935.0,3.78,3.15,9.5,114.0,5400.0,24.0,28.0,15985.0
171,74.0,104.3,21.0,188.8,67.2,57.5,3042.0,3.78,3.15,9.5,114.0,5400.0,24.0,28.0,16515.0
172,103.0,104.3,21.0,188.8,67.2,56.2,3045.0,3.62,3.15,7.5,162.0,5100.0,17.0,22.0,18420.0
173,74.0,104.3,21.0,188.8,67.2,57.5,3157.0,3.62,3.15,7.5,162.0,5100.0,17.0,22.0,18950.0
174,95.0,109.1,21.0,188.8,68.9,55.5,3012.0,3.58,2.87,8.8,134.0,5500.0,18.0,23.0,21485.0
175,95.0,109.1,21.0,188.8,68.9,55.5,3062.0,3.78,3.15,9.5,114.0,5400.0,19.0,25.0,22625.0
